TIMESTAMP,METHOD,PATH
02/23/22 - 06:56PM,GET,ROOT
02/23/22 - 07:04PM,GET,ROOT
02/23/22 - 08:57PM,GET,ROOT
02/23/22 - 08:57PM,GET,ROOT
02/23/22 - 08:57PM,GET,ROOT
02/23/22 - 08:57PM,POST,/mock
02/23/22 - 08:57PM,GET,/mock
02/23/22 - 08:57PM,GET,/mock
02/23/22 - 08:57PM,GET,/mock
02/23/22 - 08:57PM,DELETE,/mock
02/23/22 - 08:57PM,DELETE,/mock
02/23/22 - 08:57PM,PUT,/mock
02/23/22 - 09:16PM,GET,ROOT
02/23/22 - 09:17PM,GET,ROOT
02/23/22 - 09:24PM,GET,ROOT
02/23/22 - 09:24PM,GET,ROOT
02/24/22 - 09:10PM,GET,ROOT
02/24/22 - 09:10PM,GET,/mock
02/24/22 - 09:11PM,GET,/mock
02/26/22 - 11:08AM,GET,/api
